speed,dist,rcd___id
4,2,i5dpfezm
4,10,imzqt989
7,4,dzoa38x5
7,22,kjodinmh
8,16,git923bl
9,10,aphf6p2p
10,18,9h02mc9l
10,26,9a7o27x5
10,34,po2penp0
11,17,98z8jr65
11,28,hanwu5q6
12,14,xjysr6kh
12,20,xzx6wzx7
12,24,3m9l35sc
12,28,uyq13fq8
13,26,0ofib809
13,34,f4tjoao5
13,34,kzoqonum
13,46,kg0ug9nk
14,26,n7s2ij5m
14,36,kxvqf5i1
14,60,5ahq681x
14,80,lans09nt
15,20,t9jqpao2
15,26,wobovxwu
15,54,os55yb8o
16,32,zsd76y7w
16,40,gzeygxy6
17,32,rd1vjtr0
17,40,0n7a2vzy
17,50,42ws3p02
18,42,qf4mzv2e
18,56,301v3k02
18,76,rl22ty4e
18,84,fcglfja6
19,36,xzvlhzdm
19,46,qj9zagsv
19,68,jo27db61
20,32,km80qxvk
20,48,yerrjhxc
20,52,hbahnes6
20,56,z3ij4q6q
20,64,paxkq8bw
22,66,x4fn2h6v
23,54,2nd1g734
24,70,043w8w5i
24,92,h9t5wixe
24,93,5eqipvbq
24,120,yupnru2d
25,85,fpcu07hp
